antipasto, Antipasto, description, price,
baked_clams, Baked Clams, description, price,
bruschetta, Bruschetta, description, price,
buffalo_wings, Buffalo Wing, description, price,
chicken_tenders, Chicken Tenders, description, price,
caprese, Caprese, description, price,
combo_platter, Combo Platter, description, price,
fried_mushrooms, Fried Mushrooms, description, price,
fried_zucchini, Fried Zucchini, description, price,
french_fries, French Fries, description, price,
fried_calamari, Fried Calamari, description, price,
grilled_calamari, Grilled Calamari, description, price,
jalapeno_poppers, Jalapeno Poppers, description, price,
mozzarella_sticks, Mozzarella Sticks, description, price,
onion_rings, Onion Rings, description, price,
pizza_bread, Pizza Bread, description, price,
garlic_bread, Garlic Bread,description, price,
toasted_ravioli, Toasted Ravioli,description, price,
